image_path,class_dir,class_id,genus,species,domain
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\c5d705c8-3104-457b-a349-50d8ec9a1876.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\ca9a940f-d72e-44f6-8149-51acf6655518.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\d790db39-a442-4a54-a68e-f0d4bacd400a.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\ac245123-4e87-4743-963b-f8972cd88e2b.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\b0cdcd94-364b-4b02-a50b-98e75f2afe3a.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\2b9f8bd7-657f-4c5e-9e9d-878211ef4482.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\26d28b4d-a6a3-4518-bc49-5ee0032a6c10.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\9a4ee8e4-844e-4933-8200-702368e00ba9.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\9be53925-9453-43af-962f-0b05b78b942e.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\3549dc45-451f-44ac-9ff3-87de5f7c4486.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\295c85d6-5c6e-4880-9103-292273954f25.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\d5f6b519-70a2-4d07-bc2c-6057c659fb4b.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\c7c6cc93-5ec9-46ab-add5-42539ac140c5.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\5c1b4b62-afc5-4da6-9abc-c72566523024.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\abea6174-3864-411b-8e58-e9d1b8feca1e.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\3d3b3fed-65a0-47ea-933f-62b343fcd48b.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\31aa74c2-afbf-4cdd-86af-85c8a26f37c4.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\84046908-c1af-4043-809d-51a5fa8ea7bd.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\d9f60266-f5a9-4527-8028-f511d4c5f935.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\c55b1e5c-077a-426e-9c54-3b102cab5876.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\675b37d4-6d23-4794-b96b-645004af7c5e.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\fc480726-eeab-43a4-9886-a4fa22df751a.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\bad53a56-a739-4bc4-a162-057e56db3933.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\cb42655f-2716-4f5d-8e36-7d7e10bf553d.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\1963d891-a3b0-40a3-8fbf-a6670e82a15f.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\302714a3-d9dc-4807-b377-2044aabd0719.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\60245017-46a9-4a4a-a86a-624f19b046f4.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\5aeeb0d0-5e14-4dde-a483-7b35724324ab.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\bb3d7c5d-b8ca-41ea-bd65-6ceedd4eb5ed.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\1346909a-f74b-47f4-9247-a8067363fe87.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\173aa802-07d1-4782-a32b-a225c25bdd30.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\610e821b-710b-495e-bad3-5b493528c43c.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\6d049bfc-7455-4f29-b788-702a5f8dd3c9.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\44f9b81e-e305-43fb-8ebb-c46c049fe413.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\46b8ff60-6a2e-4a8f-ab88-15ea35bf5bb8.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\c6246987-b651-4ff0-949c-440aa09b4edd.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\0aaf4c37-8855-4fab-b818-46270c297167.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\c8847c0d-8687-4051-8e2f-e49c88a4f2a3.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\ad719d94-8964-459f-ae06-8b9dee0c4ba8.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\658fa5f3-c289-4dc1-bee7-a49e49cdd44b.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\d14a541f-da4f-4599-840a-62866a435599.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
train_mini\03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica\78fd91dc-ad4a-4576-86b7-c00db467b504.jpg,03477_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Limosa_lapponica,3477,Limosa,lapponica,EU
