image_path,class_dir,class_id,genus,species,domain
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\38e21266-fad0-4215-ac1b-89aaddaee5a3.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\f4e349cb-3790-4d71-a98a-4957aa6949e3.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\25dfd269-6778-4082-8c21-78a7f0f5fb7b.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\a700b8e0-5264-47fe-9844-6accead902d0.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\deebbdb3-050c-40d3-86fc-2c77984d13dd.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\74407509-ee1c-414c-8080-5fc4a67fe48c.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\bed4a1bd-53b6-4156-9ae0-4e46524fd11f.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\b3fcc9bb-e86d-4920-b56c-0eba84eb639b.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\f9341135-6f75-42d5-825f-18f2f9087611.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\3735378f-9c0c-4278-bcee-1e17e4fffbc8.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\197026c9-d113-48b0-a6ab-bb21e3544f51.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\731b761c-d4a8-4b6d-9393-d51697fe850b.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\ba6f6e96-bc49-4f7f-87db-41523ceebcfe.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
train_mini\04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi\054b4cf0-7cd3-47fc-81cb-330e2888f6e9.jpg,04280_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_grayi,4280,Turdus,grayi,US
